University of Toronto B|Jempio|Kevorc|retot|Kydess
Southwest Jiaotong University A|YRScarlet|Moonlit111
Universidad de La Frontera A|-Cocoa|Cerile|Zebahlinni
University of Waterloo C|T1 Minji|jiaxunjason|mizukuru|LissMyMommy
Saint Louis University A|nuggetchama|KotaDayo|Afireee|Eutuxia
University of Illinois at Urbana-Champaign B|Sunbun03|Acillac|ImaJon|WontonSauce
University of Massachusetts, Amherst A|Zefkiel|Lollipo0p443
University of Victoria A|Niimi Sora|bjs|NotPeace|tncw
Rutgers University C|takuan|jstyn|LittleNebula|Kawambiit
Royal Melbourne Institute of Technology A|Chipperonio|Naoi Rei|-Shiran-
University of California, Davis A|ifox|PowsterOG|aylmfao
College of Staten Island A|Want Some Candy|MyAngel Ritsuko
Washington University in St. Louis A|striFE36|BossyBear|BossyBear4
Lancaster University A|Greninja|rubrub|ocularr
University of Pisa A|Loreriv|-Poggi-|Poof|dyrecoz
University of Texas at Austin A|ShyCryoUwO|TmanGamer|trigon|Beinganub
University of California, Santa Cruz B|Asa3|AnnoyingManiac|-eterna|Thrylos
Cornell University A|yencis|Evescent|munamu|RGTrio
Georgia Institute of Technology A|-Keiko|jeremoo|Aruyy|melon bar
Rochester Institute of Technology C|TRANSGENDERISM|bokpizza|uragirarete|-JamJam-
Shanghai Jiao Tong University A|232333|Miracle|Alxz
University of Illinois at Urbana-Champaign C|idiot stick|FalseStatement|frogninja|megakeyrum
St Anthonys College Meghalaya A|ArtoriaMyAngel|wRoNk
Northwestern University A|-Aiba-|superalv123|maesil|blue_enigma
Brigham Young University A|Rumit|ueno_|Anom4ly
Boston University A|kirei_|krillish|Sorenthy|Puri
University of Maryland, College Park B|TheBushy|HijiriS|Candysour|Sungjai
University of Guelph A|Ken|clowd|Stefankingx
Wilfrid Laurier University A|xJames|ODVB|bigAl|kawaizem
Georgia Institute of Technology B|AC01010|Piemanray314|Alfresco|veryasian
University of Santo Tomas A|Setsoku|yukixo|Dunn|chocomacha
University of Alberta B|Trainbarf|Arthorism|Visionary|ChiefCFL
University of Western Ontario A|0verDrive|Renoki
University of Georgia A|My Angel Sayaka|Fluffy91021|touni_ya|bottomhottom
University of Melbourne A|Onmichi|beavr|Caarda|AnotherDream
Simon Fraser University B|Dragyuno|edwi123|Yuuko on osu|Hoho
University of California, Berkeley A|javacafe|Pebblin|littlepebbles
University of California, Santa Cruz C|SebbyLaw|Snowed|Zichuwoss|kayul
University of Calgary A|Brown Guy 1|Brown Guy 2|Yellow Guy 5|FluffyEcho
Tunku Abdul Rahman University of Management & Technology A|Jolene|GG_com2016|daniNya
University of California, Irvine B|Nayzos|landocommando17|freddiiieeee
University of Waterloo D|To My Limit|Capulet|pusaf|TimAwsomeguy
University of Alabama A|Juicy|FubukiMyWaifu|laflarb
California State Polytechnic University, Pomona A|Miori Celesta|p0keyy|jotarokyle|Rezash
Saint Louis University B|tyronetiaga01|zaviii|Zxielllo2
University of California, Berkeley B|Valene|Biyoo|Sana-Minatozaki
Colorado School of Mines A|[dragonz]|soyruz|Raminator7|Attemp2
University of Wisconsin–Eau Claire A|Meeprs|greeny111
Rensselaer Polytechnic Institute A|CKboss1|twigzy|GCM_0
De La Salle University Manila C|Bens_|Machew|XPixHellX
Ryerson University B|weed machine|Takiaz|FingerMeister
University of Calgary B|Yellow Guy 1|dots_|Astolfia
National University of Singapore B|JokThree|CopyPasted
Shandong University A|[SHK]red__pig|TRmSk|[SHK] Arcadia|eno1ate
University of Toronto C|RED40|Akisa 18|Purplegaze|Hata no Kokoro
Humber Polytechnic A|LuminarZen|Jirenemey
Jinan University A|lelxdme|yuiko122|[Curo]|Caill
University of the Philippines Diliman A|JayAreEee|mechadoodle|rikisanity|BluNuggets
Collège Jean-de-Brébeuf A|silverwolf simp|Towa Tokoyami
Rensselaer Polytechnic Institute B|mBiscuit|Salty|Jake83|a sushi roll
Purdue University B|TheOtherBubble|Kneshio|mentally-|[Redox]
University of St. La Salle A|Geanyl|YungSusanoo|Luii|Blokoy
Massachusetts Institute of Technology A|Bronzecrank|TheInterester|DerpyCarrot123|ew76543210
University of Guelph B|Ducvko|vrio|Sajecki|femboy lover
Mapúa University A|CursedFX|NathanSS
Virginia Esports Association at Virginia Tech A|HighFlyingFruit|Commit
Simon Fraser University C|-QWIOO-|piggerit|Jing Yuan|_mokichi
The Ohio State University A|geometrick|Twin Blue|LukeWarmSuiPiss|DumplingExpert
University of Wisconsin-Madison A|ThievingFlea|cheese salad
Northwestern Polytechnical University A|[SHK]RoyMaster|My Angel Kuroe|[SHK]RET_jskak|chanliuko
McGill University A|Sarkazzm|Emilico|ANutshell
University of Maryland, College Park C|n00blet|Lapisz|QWERTYKeybored|xela21666
University of Manchester A|21Jeff21|TheFrostedDev|Stermo
University of Nevada, Las Vegas A|BradIsRad|ZModOsu
University of Texas at Austin B|argosun|cute tomboy|bleh05|RashCylinder36
Rutgers University D|Zephe|gel king|LTWaffles8|tohan on osu
University of Alberta C|jacj|Ruan Mei|Tsumiki Fanboy|Happydude53
Saint Petersburg Electrotechnical University A|ThatAvocado_Boi|Kordimion
Columbia University A|woiester|TmrsEve
Illinois Institute of Technology A|ZombiePenguin|DaSwagTurtle
University of California, Los Angeles C|easypeasy123|AloeMeow|imkenny
National University Dasmariñas A|Ayacrin|katsuragi1203|Christianityy
Wilfrid Laurier University B|ilikeapple12|-YuuN-
Kennesaw State University B|MrThrone|thiicciecheese|MonkeyPilot72|Jkarate
Northeastern University B|_somet|nocko|Takimeps|CluelessGuy_21
Worcester Polytechnic Institute A|Mejiro Ardan|ArrowKnee|4leaf
Escola Politécnica da Universidade de São Paulo A|Doczera-|Niikuuni|Falquetto
University of Florida B|Alex21isbadlol|Simcur
The University of the East - Manila A|IrumiiCh|raee_sama
Troy University A|cyger|septicity
