Team|Players|Average Score|Total Score
Baechuu Extermination Squad|yukixo, hollowknees, Baechuu, Summer_Ouo|1426651.18|15693163
Blethz Determination Squad|Zorokii, shadevr, Chloe Wing Kiu, Breast|1373719.82|15110918
Dragon Ranger Gaming|Tatze, stone_bream, zfr, gilgamesh815|1297308.82|14270397
NJ STRONG 💪|Miisted, NJ STRONG, ikaenia, jpek1209|1184536.82|13029905
Wafflenjoyers|smthelse, Akagii, tomatohung, Thinhhhh|1102267.27|12124940
Kanacke und Femboy|young tplc, Mankichiro|1029103.73|11320141
STATELESS|tarragon111, Shogeki, Lilli, Kazemiya|979136.36|10770500
luh calm team|hzl, MatalisFanGirl, greeny111, Xazuto|698486.64|7683353
cikodok pisang|Lync007, DJJDJ516, Eniujqd, shwaerkbilathon|670850.45|7379355
