User ID|Player|Discord|Team
7023000|Miori Celesta||California State Polytechnic University,Pomona A
11771664|p0keyy||California State Polytechnic University,Pomona A
7614462|jotarokyle||California State Polytechnic University,Pomona A
11734557|Rezash||California State Polytechnic University,Pomona A
17845332|tyronetiaga01||Saint Louis University B
14331967|zaviii||Saint Louis University B
21185469|Zxielllo2||Saint Louis University B
8316080|Valene||University of California,Berkeley B
14242651|Biyoo||University of California,Berkeley B
14329873|Sana-Minatozaki||University of California,Berkeley B
10936856|[dragonz]||Colorado School of Mines A
18436034|soyruz||Colorado School of Mines A
5921525|Raminator7||Colorado School of Mines A
11751459|Attemp2||Colorado School of Mines A
13701582|Meeprs||University of Wisconsin–Eau Claire A
16202447|greeny111||University of Wisconsin–Eau Claire A
13125775|CKboss1||Rensselaer Polytechnic Institute A
18078906|twigzy||Rensselaer Polytechnic Institute A
17294278|GCM_0||Rensselaer Polytechnic Institute A
10166961|Bens_||De La Salle University Manila C
13953665|Machew||De La Salle University Manila C
12085590|XPixHellX||De La Salle University Manila C
10931846|weed machine||Ryerson University B
11177233|Takiaz||Ryerson University B
12632416|FingerMeister||Ryerson University B
8881934|Yellow Guy 1||University of Calgary B
15429414|dots_||University of Calgary B
19523114|Astolfia||University of Calgary B
7713152|JokThree||National University of Singapore B
9341983|CopyPasted||National University of Singapore B
15603359|[SHK]red__pig||Shandong University A
18669670|TRmSk||Shandong University A
13888511|[SHK] Arcadia||Shandong University A
24463911|eno1ate||Shandong University A
18783838|RED40||University of Toronto C
16134378|Akisa 18||University of Toronto C
7314158|Purplegaze||University of Toronto C
14375764|Hata no Kokoro||University of Toronto C
24477473|LuminarZen||Humber Polytechnic A
19067008|Jirenemey||Humber Polytechnic A
13795588|lelxdme||Jinan University A
9314367|yuiko122||Jinan University A
19465414|[Curo]||Jinan University A
32206041|Caill||Jinan University A
10852557|JayAreEee||University of the Philippines Diliman A
16894076|mechadoodle||University of the Philippines Diliman A
13297667|rikisanity||University of the Philippines Diliman A
17764670|BluNuggets||University of the Philippines Diliman A
16333094|silverwolf simp||Collège Jean-de-Brébeuf A
14510018|Towa Tokoyami||Collège Jean-de-Brébeuf A
17061174|mBiscuit||Rensselaer Polytechnic Institute B
31198587|Salty||Rensselaer Polytechnic Institute B
17907590|Jake83||Rensselaer Polytechnic Institute B
10652591|a sushi roll||Rensselaer Polytechnic Institute B
13671801|TheOtherBubble||Purdue University B
14663983|Kneshio||Purdue University B
15841500|mentally-||Purdue University B
25567623|[Redox]||Purdue University B
10038631|Geanyl||University of St. La Salle A
17621559|YungSusanoo||University of St. La Salle A
13005308|Luii||University of St. La Salle A
13782945|Blokoy||University of St. La Salle A
14173115|Bronzecrank||Massachusetts Institute of Technology A
13513428|TheInterester||Massachusetts Institute of Technology A
14951226|DerpyCarrot123||Massachusetts Institute of Technology A
25652300|ew76543210||Massachusetts Institute of Technology A
16378178|Ducvko||University of Guelph B
9843059|vrio||University of Guelph B
17990388|Sajecki||University of Guelph B
16987588|femboy lover||University of Guelph B
14353255|CursedFX||Mapúa University A
8500628|NathanSS||Mapúa University A
17727507|HighFlyingFruit||Virginia Esports Association at Virginia Tech A
16519910|Commit||Virginia Esports Association at Virginia Tech A
10253968|-QWIOO-||Simon Fraser University C
